,Date,Dernier,Ouv.,Plus Haut,Plus Bas,bid,ask,bid_rate,ask_rate,bid_rate_local,ask_rate_local,bid_rate_foreign,ask_rate_foreign
2693,2010-06-11,1.8413,1.8418,1.8498,1.8355,1.8355,1.8498,6.75,7.0,6.75,7.0,0.1,0.25
2694,2010-06-14,1.8512,1.8498,1.8631,1.8427,1.8427,1.8631,6.75,7.0,6.75,7.0,0.1,0.25
2695,2010-06-15,1.8595,1.8528,1.8606,1.8448,1.8448,1.8606,6.75,7.0,6.75,7.0,0.1,0.25
2696,2010-06-16,1.8584,1.8576,1.8612,1.8479,1.8479,1.8612,6.75,7.0,6.75,7.0,0.1,0.25
2697,2010-06-17,1.8637,1.8541,1.8657,1.8467,1.8467,1.8657,6.75,7.0,6.75,7.0,0.1,0.25
2698,2010-06-18,1.8607,1.8612,1.8624,1.8512,1.8512,1.8624,6.75,7.0,6.75,7.0,0.1,0.25
2699,2010-06-21,1.8624,1.8641,1.8648,1.8534,1.8534,1.8648,6.75,7.0,6.75,7.0,0.1,0.25
2700,2010-06-22,1.8585,1.8595,1.8618,1.8489,1.8489,1.8618,6.75,7.0,6.75,7.0,0.1,0.25
2701,2010-06-23,1.858,1.8578,1.858,1.8506,1.8506,1.858,6.75,7.0,6.75,7.0,0.1,0.25
2702,2010-06-24,1.8719999999999999,1.861,1.8734,1.8527,1.8527,1.8734,6.75,7.0,6.75,7.0,0.1,0.25
2703,2010-06-25,1.8674,1.8629,1.8683,1.8548,1.8548,1.8683,6.75,7.0,6.75,7.0,0.1,0.25
2704,2010-06-28,1.8624,1.8617,1.8659,1.8508,1.8508,1.8659,6.75,7.0,6.75,7.0,0.1,0.25
2705,2010-06-29,1.8551,1.8624,1.8634,1.8483,1.8483,1.8634,6.75,7.0,6.75,7.0,0.1,0.25
2706,2010-06-30,1.8608,1.8585,1.8644,1.8507,1.8507,1.8644,6.75,7.0,6.75,7.0,0.1,0.25
2707,2010-07-01,1.8709,1.86,1.8781,1.8569,1.8569,1.8781,6.75,7.0,6.75,7.0,0.1,0.25
2708,2010-07-02,1.8727,1.8654,1.8869999999999998,1.8642,1.8642,1.8869999999999998,6.75,7.0,6.75,7.0,0.1,0.25
2709,2010-07-05,1.8682,1.8724,1.8774,1.8632,1.8632,1.8774,6.75,7.0,6.75,7.0,0.1,0.25
